#Weibull - Linearized data and linear fitting
#Linearized-data(x), Linearized-data(y), Aproximation(x), Aproximation(y)
-12.01545228592152,-7.030857410969275,-12.01545228592152,-2.505035533170149
-16.81124283151826,-7.72422565929459,-16.81124283151826,-4.03892052726495
-11.50793792345919,-6.625171153604512,-11.50793792345919,-2.34271220869066
-11.32644589802761,-6.337267850339988,-11.32644589802761,-2.284663824026953
-10.97936035423475,-6.113902986591846,-10.97936035423475,-2.173652031032799
-10.92236487318538,-5.776987879979081,-10.92236487318538,-2.155422604146525
-10.92236487318538,-5.776987879979081,-10.92236487318538,-2.155422604146525
-10.86844345639156,-5.643234929666486,-10.86844345639156,-2.138176385552532
-10.8172814042117,-5.419648017264955,-10.8172814042117,-2.121812721760366
-10.8172814042117,-5.419648017264955,-10.8172814042117,-2.121812721760366
-10.76860999783588,-5.013073070065691,-10.76860999783588,-2.106245665782515
-10.76860999783588,-5.013073070065691,-10.76860999783588,-2.106245665782515
-10.76860999783588,-5.013073070065691,-10.76860999783588,-2.106245665782515
-10.76860999783588,-5.013073070065691,-10.76860999783588,-2.106245665782515
-10.76860999783588,-5.013073070065691,-10.76860999783588,-2.106245665782515
-10.72219795607142,-4.675266308536453,-10.72219795607142,-2.091401244673846
-10.72219795607142,-4.675266308536453,-10.72219795607142,-2.091401244673846
-10.72219795607142,-4.675266308536453,-10.72219795607142,-2.091401244673846
-10.72219795607142,-4.675266308536453,-10.72219795607142,-2.091401244673846
-10.72219795607142,-4.675266308536453,-10.72219795607142,-2.091401244673846
-10.72219795607142,-4.675266308536453,-10.72219795607142,-2.091401244673846
-10.67784478852162,-3.953669779193005,-10.67784478852162,-2.077215333613222
-10.67784478852162,-3.953669779193005,-10.67784478852162,-2.077215333613222
-10.67784478852162,-3.953669779193005,-10.67784478852162,-2.077215333613222
-10.67784478852162,-3.953669779193005,-10.67784478852162,-2.077215333613222
-10.67784478852162,-3.953669779193005,-10.67784478852162,-2.077215333613222
-10.67784478852162,-3.953669779193005,-10.67784478852162,-2.077215333613222
-10.67784478852162,-3.953669779193005,-10.67784478852162,-2.077215333613222
-10.67784478852162,-3.953669779193005,-10.67784478852162,-2.077215333613222
-10.67784478852162,-3.953669779193005,-10.67784478852162,-2.077215333613222
-10.67784478852162,-3.953669779193005,-10.67784478852162,-2.077215333613222
-10.67784478852162,-3.953669779193005,-10.67784478852162,-2.077215333613222
-10.67784478852162,-3.953669779193005,-10.67784478852162,-2.077215333613222
-10.67784478852162,-3.953669779193005,-10.67784478852162,-2.077215333613222
-10.67784478852162,-3.953669779193005,-10.67784478852162,-2.077215333613222
-10.67784478852162,-3.953669779193005,-10.67784478852162,-2.077215333613222
-10.67784478852162,-3.953669779193005,-10.67784478852162,-2.077215333613222
-10.67784478852162,-3.953669779193005,-10.67784478852162,-2.077215333613222
-10.67784478852162,-3.953669779193005,-10.67784478852162,-2.077215333613222
-10.67784478852162,-3.953669779193005,-10.67784478852162,-2.077215333613222
-10.67784478852162,-3.953669779193005,-10.67784478852162,-2.077215333613222
-10.67784478852162,-3.953669779193005,-10.67784478852162,-2.077215333613222
-10.67784478852162,-3.953669779193005,-10.67784478852162,-2.077215333613222
